biblica_reference_text,chapter_id,exact_match,existing_canonical_text,normalized_similarity,notes,spoken_reference_status,verse
Hapo mwanzo Mungu aliumba mbingu na dunia.,GEN_001,True,Hapo mwanzo Mungu aliumba mbingu na dunia.,1.0,exact_match,unavailable,1
"Wakati huu dunia ilikuwa haina umbo, tena ilikuwa tupu. Giza lilikuwa juu ya vilindi vya maji, naye Roho wa Mungu alikuwa ametulia juu ya maji.",GEN_001,False,"Wakati huu dunia ilikuwa haina umbo, tena ilikuwa tupu. Giza lilikuwa juu ya uso wa vilindi vya maji, naye Roho wa Mungu alikuwa ametulia juu ya maji.",0.9259259259259259,omission,unavailable,2
"Mungu akasema, “Iwepo nuru,” nayo nuru ikawepo.",GEN_001,True,"Mungu akasema, “Iwepo nuru,” nayo nuru ikawepo.",1.0,exact_match,unavailable,3
Mungu akaona ya kuwa nuru ni njema; ndipo Mungu akatenganisha nuru na giza.,GEN_001,False,"Mungu akaona ya kuwa nuru ni njema, ndipo Mungu akatenganisha nuru na giza.",1.0,punctuation_only,unavailable,4
"Mungu akaiita nuru “mchana”, na giza akaliita “usiku”. Ikawa jioni, ikawa asubuhi, siku ya kwanza.",GEN_001,False,"Mungu akaiita nuru “mchana,” na giza akaliita “usiku.” Ikawa jioni, ikawa asubuhi, siku ya kwanza.",1.0,punctuation_only,unavailable,5
"Mungu akasema, “Iwepo nafasi kati ya maji, igawe maji na maji.”",GEN_001,False,"Mungu akasema, “Iwepo nafasi kati ya maji igawe maji na maji.”",1.0,punctuation_only,unavailable,6
"Kwa hiyo Mungu akafanya nafasi, akatenganisha maji yaliyo chini ya hiyo nafasi na maji yaliyo juu yake. Ikawa hivyo.",GEN_001,True,"Kwa hiyo Mungu akafanya nafasi, akatenganisha maji yaliyo chini ya hiyo nafasi na maji yaliyo juu yake. Ikawa hivyo.",1.0,exact_match,unavailable,7
"Mungu akaiita hiyo nafasi “anga”. Ikawa jioni, ikawa asubuhi, siku ya pili.",GEN_001,False,"Mungu akaiita hiyo nafasi “anga.” Ikawa jioni, ikawa asubuhi, siku ya pili.",1.0,punctuation_only,unavailable,8
"Mungu akasema, “Maji yaliyopo chini ya anga na yakusanyike mahali pamoja, pawepo na nchi kavu.” Ikawa hivyo.",GEN_001,True,"Mungu akasema, “Maji yaliyopo chini ya anga na yakusanyike mahali pamoja, pawepo na nchi kavu.” Ikawa hivyo.",1.0,exact_match,unavailable,9
"Mungu akaiita nchi kavu “ardhi”, nalo lile kusanyiko la maji akaliita “bahari.” Mungu akaona kuwa ni vyema.",GEN_001,False,"Mungu akaiita nchi kavu “ardhi,” nalo lile kusanyiko la maji akaliita “bahari.” Mungu akaona kuwa ni vyema.",1.0,punctuation_only,unavailable,10
"Kisha Mungu akasema, “Ardhi na itoe mimea: miche itoayo mbegu, miti juu ya nchi itoayo matunda yenye mbegu ndani yake, kila mmea kulingana na aina zake mbalimbali.” Ikawa hivyo.",GEN_001,True,"Kisha Mungu akasema, “Ardhi na itoe mimea: miche itoayo mbegu, miti juu ya nchi itoayo matunda yenye mbegu ndani yake, kila mmea kulingana na aina zake mbalimbali.” Ikawa hivyo.",1.0,exact_match,unavailable,11
"Ardhi ikachipua mimea: Mimea itoayo mbegu kulingana na aina zake, na miti itoayo matunda yenye mbegu kulingana na aina zake. Mungu akaona ya kuwa hili ni jema.",GEN_001,True,"Ardhi ikachipua mimea: Mimea itoayo mbegu kulingana na aina zake, na miti itoayo matunda yenye mbegu kulingana na aina zake. Mungu akaona ya kuwa hili ni jema.",1.0,exact_match,unavailable,12
"Ikawa jioni, ikawa asubuhi, siku ya tatu.",GEN_001,True,"Ikawa jioni, ikawa asubuhi, siku ya tatu.",1.0,exact_match,unavailable,13
