alignment_status,asr_text_assigned_to_verse,biblica_cer,biblica_text,biblica_wer,canonical_cer,canonical_text,canonical_wer,confidence,deletions_against_spoken_reference,end_drift_ms,human_end_ms,human_exact_spoken_text,human_start_ms,insertions_against_spoken_reference,likely_primary_cause,model,normalized_token_similarity,predicted_end_ms,predicted_start_ms,spoken_reference_cer,spoken_reference_wer,start_drift_ms,substitutions_against_spoken_reference,verse,word_order_similarity
low_confidence,,1.0,"Mwenyezi Mungu ndiye mchungaji wangu, sitapungukiwa na kitu.",1.0,1.0,"Bwana ndiye mchungaji wangu, sitapungukiwa na kitu.",1.0,0.9333333333333333,12,,15000,"Mwenyezi Mungu mchungaji wetu, Mwenyezi Mungu ndo mchungaji wangu sitapungukiwa na kitu.",7000,0,verse_assignment_error,small,0.0,,,1.0,1.0,,0,1,0.0
aligned,katika malishu ya Kando ya maji matulivu,0.49230769230769234,"Hunilaza katika malisho ya majani mabichi, kando ya maji matulivu huniongoza,",0.45454545454545453,0.6388888888888888,Hunilaza katika malisho ya majani mabichi.,1.0,0.9795918367346939,4,-560,21000,"Hunilaza katika malisho ya majani mabichi,kando ya maji matulivu huniongoza",16000,0,ASR_omission,small,0.5454545454545454,20440,16320,0.49230769230769234,0.45454545454545453,320,1,2,0.5454545454545454
recovered_between_neighbors,Huni huisha na wsi hangu. Huni ongoza katika njiya zahaki kuadili adinalake.,0.125,hunihuisha nafsi yangu. Huniongoza katika njia za haki kwa ajili ya jina lake.,1.0,2.25,Hunihuisha nafsi yangu.,4.0,0.875,1,-580,28000,Hunihuisha nafsi yangu . Huniongoza katika njia za haki kwa ajili ya jina lake.,22000,0,ASR_substitution,small,0.0,27420,21760,0.125,1.0,-240,12,3,0.07692307692307693
recovered_between_neighbors,Hatani ki pita katikati abondela uvuli wa mauti. Sita ogo pa mabaya. Komana wewe upo pa mojyanami. Fimboyako na mkongodyoako via nifarigi.,0.08695652173913043,"Hata nikipita katikati ya bonde la uvuli wa mauti, sitaogopa mabaya, kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",0.782608695652174,1.36,Nijapopita katika bonde la uvuli wa mauti sitaogopa mabaya.,2.0,0.8823529411764706,4,60,40000,"Hata kama nikipita katikati ya bonde la  uvuli wa mauti , sitaogopa mabaya , Kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",29000,2,ASR_substitution,small,0.25,40060,27420,0.11764705882352941,0.75,-1580,12,4,0.3333333333333333
aligned,"meza mbele hangu pa kamafuta pangu, kikombe changu",0.5333333333333333,"Waandaa meza mbele yangu machoni pa adui zangu. Umenipaka mafuta kichwani pangu, kikombe changu kinafurika.",0.6,0.6923076923076923,Waandaa meza mbele yangu machoni pa adui zangu.,0.875,0.94375,7,-620,49000,"Waandaa meza mbele yangu machoni pa adui zangu . Umenipaka mafuta kichwani pangu, kikombe changu kinafurika.",41000,0,ASR_omission,small,0.4,48380,41520,0.5333333333333333,0.6,520,2,5,0.4
aligned,Hakika uema na upendo maisha hangu. mungu milele.,0.5824175824175825,"Hakika wema na upendo vitanifuata siku zote za maisha yangu, nami nitakaa nyumbani mwa Mwenyezi Mungu milele.",0.6470588235294118,0.6470588235294118,Hakika wema na fadhili zitanifuata siku zote za maisha yangu.,0.8,0.94375,9,-2080,60000,"Hakika wema na upendo vitanifuata siku zote za maisha yangu, nami nitakaa nyumbani kwa mwenyezi Mungu milele.",50000,0,ASR_omission,small,0.3529411764705882,57920,49900,0.5824175824175825,0.6470588235294118,-100,2,6,0.35294117647058826
aligned,"Munyezi mungu mchungaji wetu Munyezi mungu mchungaji wangu, na kitu",0.5490196078431373,"Mwenyezi Mungu ndiye mchungaji wangu, sitapungukiwa na kitu.",0.75,0.7441860465116279,"Bwana ndiye mchungaji wangu, sitapungukiwa na kitu.",1.0,0.95,2,100,15000,"Mwenyezi Mungu mchungaji wetu, Mwenyezi Mungu ndo mchungaji wangu sitapungukiwa na kitu.",7000,0,reference_mismatch,medium,0.6666666666666667,15100,6060,0.26666666666666666,0.3333333333333333,-940,2,1,0.6666666666666666
aligned,"katika malisho ya majani mabichi, kando ya maji matulivu",0.27692307692307694,"Hunilaza katika malisho ya majani mabichi, kando ya maji matulivu huniongoza,",0.18181818181818182,0.75,Hunilaza katika malisho ya majani mabichi.,0.8333333333333334,1.0,2,-440,21000,"Hunilaza katika malisho ya majani mabichi,kando ya maji matulivu huniongoza",16000,0,needs_review,medium,0.8181818181818181,20560,16460,0.27692307692307694,0.18181818181818182,460,0,2,0.8181818181818182
recovered_between_neighbors,"Huni huwisha na usiyangu, huni ongoza katika njiyazahaki kwa jili ya jinalake",0.0625,hunihuisha nafsi yangu. Huniongoza katika njia za haki kwa ajili ya jina lake.,0.8461538461538461,2.3,Hunihuisha nafsi yangu.,4.0,0.9384615384615385,1,-660,28000,Hunihuisha nafsi yangu . Huniongoza katika njia za haki kwa ajili ya jina lake.,22000,0,ASR_substitution,medium,0.15384615384615385,27340,21640,0.0625,0.8461538461538461,-360,10,3,0.23076923076923078
aligned,"Hata katikati ya bonde la uvuli wa mauti, mabaya Kwa maana wewe upo nami, fimbo yaako na mkongojo vyanifariji",0.24347826086956523,"Hata nikipita katikati ya bonde la uvuli wa mauti, sitaogopa mabaya, kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",0.21739130434782608,1.14,Nijapopita katika bonde la uvuli wa mauti sitaogopa mabaya.,1.5555555555555556,0.9894736842105263,5,380,40000,"Hata kama nikipita katikati ya bonde la  uvuli wa mauti , sitaogopa mabaya , Kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",29000,0,mixed,medium,0.75,40380,28160,0.2689075630252101,0.25,-840,1,4,0.75
