alignment_status,assigned_asr_text,candidate,cer,confidence,deletions,end_drift_ms,human_end_ms,human_start_ms,insertions,predicted_end_ms,predicted_start_ms,reference_text,start_drift_ms,substitutions,verse,wer
aligned,Munyezi mungu mchungaji wetu Munyezi mungu mchungaji wangu Siitapungukiwa na kitu,medium_vad_tuned,0.10666666666666667,0.948051948051948,1,280,15000,7000,0,15280,6150,"Mwenyezi Mungu mchungaji wetu, Mwenyezi Mungu ndo mchungaji wangu sitapungukiwa na kitu.",-850,3,1,0.3333333333333333
aligned,Hunilaza katika malisho ya majani mabichi Kando ya maji matulivu,medium_vad_tuned,0.15384615384615385,1.0,1,-420,21000,16000,0,20580,15620,"Hunilaza katika malisho ya majani mabichi,kando ya maji matulivu huniongoza",-380,0,2,0.09090909090909091
recovered_between_neighbors,Huni huwisha na usiyangu Huni ongoza katika njiyazahaki kwa jili ya jinalake,medium_vad_tuned,0.0625,0.9384615384615385,1,-220,28000,22000,0,27780,21790,Hunihuisha nafsi yangu . Huniongoza katika njia za haki kwa ajili ya jina lake.,-210,10,3,0.8461538461538461
aligned,Hata katikati ya bonde la uvuli wa mauti mabaya Kwa maana wewe nami Fimbo yaako na mkongojo,medium_vad_tuned,0.3865546218487395,0.9882352941176471,7,-1270,40000,29000,0,38730,28060,"Hata kama nikipita katikati ya bonde la  uvuli wa mauti , sitaogopa mabaya , Kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",-940,1,4,0.3333333333333333
aligned,ameza mbele yangu izangu Umenipaka mafuta kichwa kinafurika,medium_vad_tuned,0.4222222222222222,0.9229166666666667,7,280,49000,41000,0,49280,41670,"Waandaa meza mbele yangu machoni pa adui zangu . Umenipaka mafuta kichwani pangu, kikombe changu kinafurika.",670,3,5,0.6666666666666666
aligned,Hakika uema na upendo siku zote za Nami nitaka nyumbani mungu milele,medium_vad_tuned,0.38461538461538464,0.9672619047619048,5,-2010,60000,50000,0,57990,49610,"Hakika wema na upendo vitanifuata siku zote za maisha yangu, nami nitakaa nyumbani kwa mwenyezi Mungu milele.",-390,2,6,0.4117647058823529
aligned,mungu mchungaji wetu. Mwenyezi mungu mchungaji wangu. na kitu.,large-v3,0.32,1.0,3,-200,15000,7000,0,14800,6570,"Mwenyezi Mungu mchungaji wetu, Mwenyezi Mungu ndo mchungaji wangu sitapungukiwa na kitu.",-430,0,1,0.25
aligned,Hunilaza katika malisho ya majani mabichi. Kando ya maji matulivu huniongoza.,large-v3,0.0,1.0,0,80,21000,16000,0,21080,15400,"Hunilaza katika malisho ya majani mabichi,kando ya maji matulivu huniongoza",-600,0,2,0.0
aligned,Hunihuisha Huniongoza katika njia za haki kwa ajili ya,large-v3,0.28125,1.0,4,-1220,28000,22000,0,26780,21710,Hunihuisha nafsi yangu . Huniongoza katika njia za haki kwa ajili ya jina lake.,-290,0,3,0.3076923076923077
aligned,Hata nikipita katikati ya bonde la uvuli wa mauti. mabaya. Kwa maana wewe upo pamoja nami. Fimbo yako na mkongojo wako,large-v3,0.20168067226890757,1.0,3,-950,40000,29000,0,39050,27300,"Hata kama nikipita katikati ya bonde la  uvuli wa mauti , sitaogopa mabaya , Kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",-1700,0,4,0.125
aligned,ameza mbele yangu machoni Umenipaka mafuta kikombe changu kinafurika.,large-v3,0.3333333333333333,0.9777777777777777,6,-40,49000,41000,0,48960,41450,"Waandaa meza mbele yangu machoni pa adui zangu . Umenipaka mafuta kichwani pangu, kikombe changu kinafurika.",450,1,5,0.4666666666666667
aligned,Hakika uema na upendo vitanifuata siku zote za maisha yangu. Nami nitaka nyumbani mungu milele.,large-v3,0.14285714285714285,0.9738095238095238,2,-2150,60000,50000,0,57850,49570,"Hakika wema na upendo vitanifuata siku zote za maisha yangu, nami nitakaa nyumbani kwa mwenyezi Mungu milele.",-430,2,6,0.23529411764705882
aligned,"mwenyezi mungu mchungaji wetu, mwenyezi mungu mchungaji wangu, na kitu,",large-v3-turbo,0.21333333333333335,1.0,2,-100,15000,7000,0,14900,6270,"Mwenyezi Mungu mchungaji wetu, Mwenyezi Mungu ndo mchungaji wangu sitapungukiwa na kitu.",-730,0,1,0.16666666666666666
aligned,"hunilaza katika malisho ya majani mabichi, kando ya maji matulivu huniongoza,",large-v3-turbo,0.0,1.0,0,240,21000,16000,0,21240,15740,"Hunilaza katika malisho ya majani mabichi,kando ya maji matulivu huniongoza",-260,0,2,0.0
aligned,hunihuisha huniongoza katika njia za haki kwa ajili ya,large-v3-turbo,0.28125,1.0,4,-1140,28000,22000,0,26860,21930,Hunihuisha nafsi yangu . Huniongoza katika njia za haki kwa ajili ya jina lake.,-70,0,3,0.3076923076923077
aligned,"hata nikipita katikati ya bonde la uvuli wa mauti, mabaya, kwa maana wewe upo Fimbo yako na mkongojo yako",large-v3-turbo,0.29411764705882354,0.9868421052631579,5,-990,40000,29000,0,39010,28260,"Hata kama nikipita katikati ya bonde la  uvuli wa mauti , sitaogopa mabaya , Kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",-740,1,4,0.25
aligned,"ameza mbele yangu machoni izangu, umenipaka mafuta kichwa kikombe changu kinafurika,",large-v3-turbo,0.2,0.943939393939394,4,120,49000,41000,0,49120,41530,"Waandaa meza mbele yangu machoni pa adui zangu . Umenipaka mafuta kichwani pangu, kikombe changu kinafurika.",530,3,5,0.4666666666666667
aligned,"hakika uema na upendo siku zote za maisha yangu, nyumbani mungu milele.",large-v3-turbo,0.37362637362637363,0.9791666666666666,5,-2090,60000,50000,0,57910,49930,"Hakika wema na upendo vitanifuata siku zote za maisha yangu, nami nitakaa nyumbani kwa mwenyezi Mungu milele.",-70,1,6,0.35294117647058826
